	country	region	median_age	birth_rate	death_rate	life_expectancy	fertility_rate	obesity_rate
0	Japan	East Asia/Southeast Asia	48,60	7.0	ноя.44	84.65	янв.38	04.мар
1	Germany	Europe	47,80	авг.63	дек.22	81.3	янв.48	22.мар
2	Italy	Europe	46,50	авг.37	10.июл	82.67	янв.47	19.сен
3	Andorra	Europe	46,20	июн.91	июл.86	83.23	янв.44	25.июн
4	Greece	Europe	45,30	июл.72	12.май	81.28	янв.39	24.сен
5	Slovenia	Europe	44,90	08.май	окт.34	81.61	янв.59	20.фев
6	Portugal	Europe	44,60	08.фев	10.сен	81.29	янв.42	20.авг
7	Austria	Europe	44,50	сен.48	сен.85	82.07	01.май	20.янв
8	Lithuania	Europe	44,50	сен.42	15.май	75.61	янв.61	26.мар
9	Latvia	Europe	44,40	авг.96	14.63	75.65	янв.54	23.июн
10	Croatia	Europe	43,90	авг.68	дек.78	76.97	янв.44	24.апр
11	Spain	Europe	43,90	08.май	сен.78	82.21	янв.51	23.авг
12	Bulgaria	Europe	43,70	авг.15	14.52	75.3	янв.49	25.0
13	Estonia	Europe	43,70	09.мар	13.июн	77.63	янв.61	21.фев
14	Hungary	Europe	43,60	авг.72	дек.88	76.95	янв.48	26.апр
15	Serbia	Europe	43,40	авг.74	13.49	76.56	янв.47	21.май
16	Bosnia and Herzegovina	Europe	43,30	08.май	окт.25	77.74	янв.35	17.сен
17	Czechia	Europe	43,30	авг.75	окт.72	79.5	янв.49	26.0
18	Korea, South	East Asia/Southeast Asia	43,20	июн.89	июн.96	82.78	01.сен	04.июл
19	Finland	Europe	42,80	окт.49	окт.33	81.55	янв.74	22.фев
20	Netherlands	Europe	42,80	окт.98	сен.22	81.95	янв.78	20.апр
21	Switzerland	Europe	42,70	окт.41	авг.44	83.03	янв.58	19.май
22	Romania	Europe	42,50	авг.39	ноя.99	76.3	янв.38	22.май
23	Malta	Europe	42,30	сен.84	авг.37	83.0	01.май	28.сен
24	Cuba	Central America	42,10	окт.25	сен.22	79.41	янв.71	24.июн
25	Denmark	Europe	42,00	ноя.17	09.май	81.45	янв.77	19.июл
26	Poland	Europe	41,90	авг.69	окт.68	78.53	янв.39	23.янв
27	Canada	North America	41,80	окт.21	08.авг	83.62	янв.57	29.апр
28	Slovakia	Europe	41,80	09.янв	10.авг	78.07	янв.45	20.май
29	France	Europe	41,70	ноя.77	сен.58	82.39	02.апр	21.июн
30	Belgium	Europe	41,60	11.мар	сен.71	81.65	янв.77	22.янв
31	Ukraine	Europe	41,20	сен.23	13.сен	73.18	янв.56	24.янв
32	Sweden	Europe	41,10	ноя.93	сен.39	82.6	янв.86	20.июн
33	Belarus	Europe	40,90	сен.32	дек.96	74.01	янв.51	24.май
34	United Kingdom	Europe	40,60	ноя.77	сен.41	81.3	янв.86	27.авг
35	Russia	Central Asia	40,30	сен.71	13.апр	72.16	01.июн	23.янв
36	Montenegro	Europe	39,60	ноя.35	окт.37	77.51	янв.82	23.мар
37	Barbados	Central America	39,50	окт.96	07.сен	78.31	01.июл	23.янв
38	Luxembourg	Europe	39,50	ноя.62	июл.26	82.78	янв.63	22.июн
39	Norway	Europe	39,50	12.сен	08.янв	82.35	янв.84	23.янв
40	Thailand	East Asia/Southeast Asia	39,00	окт.25	июл.66	77.41	янв.54	10.0
41	Georgia	Middle East	38,60	ноя.26	окт.84	77.25	янв.75	21.июл
42	United States	North America	38,50	дек.33	авг.35	80.43	янв.84	36.2
43	China	East Asia/Southeast Asia	38,40	11.мар	авг.26	76.31	01.июн	06.фев
44	United Arab Emirates	Middle East	38,40	окт.87	янв.51	79.37	янв.65	31.июл
45	Cook Islands	Australia - Oceania	38,30	дек.85	авг.89	76.89	02.сен	55.9
46	Cyprus	Europe	37,90	окт.76	06.сен	79.51	янв.48	21.авг
47	Ireland	Europe	37,80	12.июн	июн.72	81.45	янв.93	25.мар
48	Trinidad and Tobago	Central America	37,80	11.дек	авг.68	74.92	01.июл	18.июн
49	Moldova	Europe	37,70	окт.45	дек.46	72.16	янв.58	18.сен
50	Australia	Australia - Oceania	37,50	дек.35	июн.78	82.89	янв.74	29.0
51	New Zealand	Australia - Oceania	37,20	дек.83	июн.91	82.33	янв.87	30.авг
52	Iceland	Europe	37,10	13.дек	июн.56	83.45	янв.96	21.сен
53	Saint Lucia	Central America	36,90	дек.27	июл.96	78.71	янв.73	19.июл
54	Seychelles	Africa	36,80	дек.63	июн.83	75.84	янв.82	14.0
55	Armenia	Middle East	36,60	ноя.45	сен.48	75.86	янв.65	20.фев
56	Saint Kitts and Nevis	Central America	36,50	дек.43	июл.24	76.83	янв.77	22.сен
57	Mauritius	Africa	36,30	дек.44	июл.23	76.7	янв.73	10.авг
58	Singapore	East Asia/Southeast Asia	35,60	сен.13	мар.93	86.19	янв.15	06.янв
59	Chile	South America	35,50	дек.92	июн.47	79.57	янв.76	28.0
60	Uruguay	South America	35,50	дек.75	сен.24	78.19	янв.76	27.сен
61	Saint Vincent and the Grenadines	Central America	35,30	дек.44	июл.42	76.43	янв.75	23.июл
62	Dominica	Central America	34,90	14.16	авг.14	77.96	02.фев	27.сен
63	Korea, North	East Asia/Southeast Asia	34,60	14.35	сен.39	71.65	янв.91	06.авг
64	Albania	Europe	34,30	дек.86	июл.27	79.23	янв.53	21.июл
65	Palau	Australia - Oceania	33,90	ноя.47	авг.19	74.38	01.июл	55.3
66	Lebanon	Middle East	33,70	13.35	май.57	78.53	янв.71	32.0
67	Qatar	Middle East	33,70	сен.38	янв.42	79.58	01.сен	35.1
68	Sri Lanka	South Asia	33,70	14.янв	июн.45	77.75	2.0	05.фев
69	Grenada	Central America	33,30	14.27	авг.29	75.48	янв.95	21.мар
70	Brazil	South America	33,20	13.44	06.авг	74.98	янв.73	22.янв
71	Bahrain	Middle East	32,90	12.май	фев.81	79.67	янв.68	29.авг
72	Bahamas, The	Central America	32,80	14.78	июн.34	75.87	янв.98	31.6
73	Antigua and Barbuda	Central America	32,70	15.мар	май.63	77.55	янв.96	18.сен
74	Tunisia	Africa	32,70	15.21	июн.35	76.57	02.мар	26.сен
75	Azerbaijan	Middle East	32,60	14.мар	июн.93	73.88	янв.87	19.сен
76	Costa Rica	Central America	32,60	14.53	апр.86	79.41	янв.87	25.июл
77	Argentina	South America	32,40	15.авг	июл.36	78.07	02.фев	28.мар
